Date_Reported,Time_Committed,Weather_Conditions,Barangay,Address,Type_of_Place,VTA_Category,Victim_Killed,Victim_Injured,Victim_Unharmed,Main_Cause,Details_of_Main_Cause,Case_Status,Road_Conditions,Day_Period,Traffic_Volume
10/27/2017,12:20:00 PM,foggy,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp,Afternoon,0
10/27/2017,8:30:00 AM,rainy,AZCKO,"Barangay AZCKO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet,Morning,160
10/27/2017,9:50:00 AM,clear,HOLY GHOST EXTENSION,"Barangay HOLY GHOST EXTENSION, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Traffic Management Factors,Blocked Intersection,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),dry,Morning,358
10/29/2017,5:00:00 PM,rainy,AZCKO,"Barangay AZCKO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet,Evening,336
10/28/2017,4:30:00 PM,rainy,TEODORA ALONZO,"Barangay TEODORA ALONZO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,Under Investigation,wet,Afternoon,548
10/28/2017,12:30:00 PM,clear,KABAYANIHAN,"Barangay KABAYANIHAN, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,Under Investigation,dry,Afternoon,315
10/28/2017,1:30:00 PM,foggy,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),damp,Afternoon,301
10/28/2017,10:15:00 AM,clear,ABCR,"Barangay ABCR, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),dry,Morning,652
10/28/2017,9:30:00 AM,rainy,RIZAL MONUMENT AREA,"Barangay RIZAL MONUMENT AREA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),wet,Morning,160
10/28/2017,10:15:00 AM,clear,CAMP 7,"Barangay CAMP 7, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry,Morning,124
10/28/2017,11:00:00 AM,foggy,ST. JOSEPH (NAVY BASE),"Barangay ST. JOSEPH (NAVY BASE), Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),damp,Morning,207
10/28/2017,5:30:00 PM,rainy,ST. JOSEPH (NAVY BASE),"Barangay ST. JOSEPH (NAVY BASE), Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),wet,Evening,163
10/28/2017,2:00:00 PM,clear,FAIRVIEW VILLAGE,"Barangay FAIRVIEW VILLAGE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,Under Investigation,dry,Afternoon,839
10/28/2017,10:30:00 AM,clear,CAMPO FILIPINO,"Barangay CAMPO FILIPINO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),dry,Morning,687
10/28/2017,10:00:00 AM,rainy,SAN LUIS VILLAGE,"Barangay SAN LUIS VILLAGE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),wet,Morning,635
10/28/2017,8:45:00 AM,foggy,CAMPO FILIPINO,"Barangay CAMPO FILIPINO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),damp,Morning,882
10/29/2017,2:25:00 PM,clear,RIZAL MONUMENT AREA,"Barangay RIZAL MONUMENT AREA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),dry,Afternoon,199
10/29/2017,5:15:00 PM,rainy,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),wet,Evening,208
10/29/2017,10:15:00 AM,foggy,SAN LUIS VILLAGE,"Barangay SAN LUIS VILLAGE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,Under Investigation,damp,Morning,983
10/31/2017,12:30:00 PM,clear,IRISAN,"Barangay IRISAN, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,No,Human Error,Inattention,SOLVED (AMICABLY SETTLED),dry,Afternoon,950
10/30/2017,11:20:00 PM,clear,BURNHAM-LEGARDA,"Barangay BURNHAM-LEGARDA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry,Evening,366
10/30/2017,3:30:00 PM,foggy,HARRISON-CLAUDIO CARANTES,"Barangay HARRISON-CLAUDIO CARANTES, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),damp,Afternoon,111
11/1/2017,6:30:00 PM,rainy,OUTLOOK DRIVE,"Barangay OUTLOOK DRIVE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),wet,Evening,525
10/30/2017,11:00:00 AM,clear,SAN LUIS VILLAGE,"Barangay SAN LUIS VILLAGE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,Under Investigation,dry,Morning,196
10/30/2017,12:30:00 PM,clear,QUEZON HILL PROPER,"Barangay QUEZON HILL PROPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Environmental,Fallen Tree on Road,Under Investigation,dry,Afternoon,680
11/1/2017,8:00:00 PM,foggy,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,Under Investigation,damp,Evening,87
10/31/2017,10:30:00 AM,rainy,CAMP 7,"Barangay CAMP 7, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet,Morning,85
11/1/2017,1:56:00 PM,clear,"MAGSAYSAY, LOWER","Barangay MAGSAYSAY, LOWER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Environmental,Fallen Tree on Road,Under Investigation,dry,Afternoon,21
11/2/2017,11:40:00 PM,clear,MORCO VILLE,"Barangay MORCO VILLE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry,Evening,126
11/1/2017,9:45:00 AM,rainy,CABINET HILL-TEACHER'S CAMP,"Barangay CABINET HILL-TEACHER'S CAMP, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet,Morning,887
11/2/2017,9:30:00 PM,foggy,LUALHATI,"Barangay LUALHATI, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,Under Investigation,damp,Evening,683
11/1/2017,5:00:00 PM,rainy,SANTO TOMAS PROPER,"Barangay SANTO TOMAS PROPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),wet,Evening,608
11/1/2017,6:05:00 PM,clear,DOMINICAN MIRADOR HILL,"Barangay DOMINICAN MIRADOR HILL, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,Under Investigation,dry,Evening,567
11/22/2017,3:30:00 AM,foggy,SAN LUIS VILLAGE,"Barangay SAN LUIS VILLAGE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,Under Investigation,damp,Morning,119
11/22/2017,3:00:00 PM,clear,SAN VICENTE,"Barangay SAN VICENTE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry,Afternoon,543
11/3/2017,11:45:00 PM,rainy,"MAGSAYSAY, LOWER","Barangay MAGSAYSAY, LOWER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,Yes,Human Error,Speeding,SOLVED (FILED-ARRESTED),wet,Evening,232
11/2/2017,6:00:00 PM,foggy,MILITARY CUT-OFF,"Barangay MILITARY CUT-OFF, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),damp,Evening,447
11/4/2017,5:30:00 PM,clear,PALMA-URBANO,"Barangay PALMA-URBANO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry,Evening,581
11/3/2017,9:20:00 AM,rainy,TRANCOVILLE,"Barangay TRANCOVILLE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,Yes,Environmental,Slippery Road due to Rain,SOLVED (FILED-ARRESTED),wet,Morning,716
11/3/2017,7:05:00 AM,rainy,"MAGSAYSAY, UPPER","Barangay MAGSAYSAY, UPPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),wet,Morning,895
11/5/2017,2:20:00 PM,foggy,"MAGSAYSAY, UPPER","Barangay MAGSAYSAY, UPPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),damp,Afternoon,595
11/5/2017,4:20:00 PM,clear,AZCKO,"Barangay AZCKO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Environmental,Fallen Tree on Road,Under Investigation,dry,Afternoon,183
11/5/2017,3:45:00 PM,rainy,"MAGSAYSAY, UPPER","Barangay MAGSAYSAY, UPPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),wet,Afternoon,0
11/4/2017,1:30:00 PM,clear,TEODORA ALONZO,"Barangay TEODORA ALONZO, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),dry,Afternoon,516
11/4/2017,3:30:00 AM,foggy,MILITARY CUT-OFF,"Barangay MILITARY CUT-OFF, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),damp,Morning,784
11/5/2017,5:45:00 PM,foggy,PACDAL,"Barangay PACDAL, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Human Error,Speeding,SOLVED (AMICABLY SETTLED),damp,Evening,687
11/5/2017,2:43:00 PM,clear,RIZAL MONUMENT AREA,"Barangay RIZAL MONUMENT AREA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry,Afternoon,547
11/5/2017,8:20:00 PM,rainy,RIZAL MONUMENT AREA,"Barangay RIZAL MONUMENT AREA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),wet,Evening,845
11/5/2017,10:55:00 AM,rainy,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),wet,Morning,409
11/5/2017,4:30:00 PM,foggy,MANUEL A. ROXAS,"Barangay MANUEL A. ROXAS, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),damp,Afternoon,679
11/5/2017,10:55:00 AM,clear,SALUD MITRA,"Barangay SALUD MITRA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry,Morning,946
11/6/2017,11:15:00 PM,foggy,DPS AREA,"Barangay DPS AREA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),damp,Evening,970
11/7/2017,5:00:00 PM,clear,GIBRALTAR,"Barangay GIBRALTAR, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,Under Investigation,dry,Evening,175
12/29/2017,4:20:00 PM,rainy,LUALHATI,"Barangay LUALHATI, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,Under Investigation,wet,Afternoon,20
11/6/2017,12:25:00 PM,foggy,BAKAKENG CENTRAL,"Barangay BAKAKENG CENTRAL, Baguio City, Benguet, Philippines",Parking Area ,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),damp,Afternoon,685
11/6/2017,11:45:00 PM,clear,QUEZON HILL UPPER,"Barangay QUEZON HILL UPPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,Under Investigation,dry,Evening,355
11/6/2017,5:30:00 PM,clear,POLIWES,"Barangay POLIWES, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),dry,Evening,573
11/7/2017,7:00:00 AM,rainy,QUEZON HILL MIDDLE,"Barangay QUEZON HILL MIDDLE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,Under Investigation,wet,Morning,246
11/7/2017,6:00:00 PM,foggy,KABAYANIHAN,"Barangay KABAYANIHAN, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),damp,Evening,794
11/7/2017,11:08:00 AM,clear,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),dry,Morning,319
11/7/2017,8:15:00 AM,rainy,HARRISON-CLAUDIO CARANTES,"Barangay HARRISON-CLAUDIO CARANTES, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,Under Investigation,wet,Morning,614
11/7/2017,11:30:00 AM,foggy,BROOKSIDE,"Barangay BROOKSIDE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,Under Investigation,damp,Morning,769
11/9/2017,7:45:00 AM,clear,MILITARY CUT-OFF,"Barangay MILITARY CUT-OFF, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry,Morning,717
11/9/2017,7:15:00 AM,rainy,BURNHAM-LEGARDA,"Barangay BURNHAM-LEGARDA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet,Morning,824
11/8/2017,3:00:00 PM,rainy,CAMP 8,"Barangay CAMP 8, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),wet,Afternoon,786
11/8/2017,8:49:00 AM,foggy,ST. JOSEPH (NAVY BASE),"Barangay ST. JOSEPH (NAVY BASE), Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,Under Investigation,damp,Morning,598
11/10/2017,7:48:00 AM,clear,RIZAL MONUMENT AREA,"Barangay RIZAL MONUMENT AREA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),dry,Morning,350
11/10/2017,8:00:00 AM,rainy,"MAGSAYSAY, UPPER","Barangay MAGSAYSAY, UPPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),wet,Morning,798
11/9/2017,11:15:00 AM,foggy,CABINET HILL-TEACHER'S CAMP,"Barangay CABINET HILL-TEACHER'S CAMP, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp,Morning,191
11/10/2017,1:40:00 PM,rainy,LUALHATI,"Barangay LUALHATI, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),wet,Afternoon,636
11/10/2017,11:30:00 PM,clear,BAKAKENG CENTRAL,"Barangay BAKAKENG CENTRAL, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry,Evening,928
11/10/2017,2:15:00 PM,clear,QUEZON HILL PROPER,"Barangay QUEZON HILL PROPER, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry,Afternoon,355
11/12/2017,5:37:00 PM,foggy,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),damp,Evening,804
11/12/2017,8:50:00 AM,rainy,SESSION GOV. PACK,"Barangay SESSION GOV. PACK, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet,Morning,694
11/11/2017,8:55:00 AM,rainy,MILITARY CUT-OFF,"Barangay MILITARY CUT-OFF, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),wet,Morning,162
11/11/2017,4:45:00 PM,foggy,FERDINAND BARANGAY,"Barangay FERDINAND BARANGAY, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),damp,Afternoon,19
11/11/2017,6:45:00 PM,clear,BURNHAM-LEGARDA,"Barangay BURNHAM-LEGARDA, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),dry,Evening,594
11/12/2017,1:20:00 PM,foggy,SOUTH DRIVE,"Barangay SOUTH DRIVE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),damp,Afternoon,775
11/12/2017,1:20:00 PM,rainy,SOUTH DRIVE,"Barangay SOUTH DRIVE, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),wet,Afternoon,65
11/12/2017,5:30:00 PM,clear,GIBRALTAR,"Barangay GIBRALTAR, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),dry,Evening,578
11/13/2017,7:30:00 PM,clear,SANTA ESCOLASTICA,"Barangay SANTA ESCOLASTICA, Baguio City, Benguet, Philippines",Parking Area ,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),dry,Evening,20
11/13/2017,2:30:00 PM,foggy,CAMP 8,"Barangay CAMP 8, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),damp,Afternoon,835
11/13/2017,1:00:00 PM,rainy,GIBRALTAR,"Barangay GIBRALTAR, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),wet,Afternoon,786
11/13/2017,10:54:00 AM,rainy,DOMINICAN MIRADOR HILL,"Barangay DOMINICAN MIRADOR HILL, Baguio City, Benguet, Philippines",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet,Morning,227
